"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 18 09:16:18 GMT 2025","Tue Feb 18 09:16:18 GMT 2025","6","","com.example.catalog.JSONDataSourceServiceTests.AlbumControllerTest","","com.example.catalog.JSONDataSourceServiceTests.AlbumControllerTest","testDeleteAlbum_InvalidId","testDeleteAlbum_InvalidId()",""
"passed","Tue Feb 18 09:16:18 GMT 2025","Tue Feb 18 09:16:18 GMT 2025","29","","com.example.catalog.JSONDataSourceServiceTests.AlbumControllerTest","","com.example.catalog.JSONDataSourceServiceTests.AlbumControllerTest","testUpdateTrackInAlbum_Success","testUpdateTrackInAlbum_Success()",""
"passed","Tue Feb 18 09:16:19 GMT 2025","Tue Feb 18 09:16:19 GMT 2025","15","","com.example.catalog.SpotifyAPIDataSourcesTests.AlbumControllerTest","","com.example.catalog.SpotifyAPIDataSourcesTests.AlbumControllerTest","testGetAllAlbums_Success","testGetAllAlbums_Success()",""
"passed","Tue Feb 18 09:16:18 GMT 2025","Tue Feb 18 09:16:18 GMT 2025","21","","com.example.catalog.JSONDataSourceServiceTests.AlbumControllerTest","","com.example.catalog.JSONDataSourceServiceTests.AlbumControllerTest","testUpdateAlbum_Success","testUpdateAlbum_Success()",""
"passed","Tue Feb 18 09:16:18 GMT 2025","Tue Feb 18 09:16:18 GMT 2025","9","","com.example.catalog.JSONDataSourceServiceTests.ArtistControllerTest","","com.example.catalog.JSONDataSourceServiceTests.ArtistControllerTest","testGetArtistSongs_ArtistsNotExist","testGetArtistSongs_ArtistsNotExist()",""
"passed","Tue Feb 18 09:16:18 GMT 2025","Tue Feb 18 09:16:18 GMT 2025","11","","com.example.catalog.JSONDataSourceServiceTests.ArtistControllerTest","","com.example.catalog.JSONDataSourceServiceTests.ArtistControllerTest","testUpdateArtist_Success","testUpdateArtist_Success()",""
"passed","Tue Feb 18 09:16:19 GMT 2025","Tue Feb 18 09:16:19 GMT 2025","14","","com.example.catalog.SpotifyAPIDataSourcesTests.SongControllerTest","","com.example.catalog.SpotifyAPIDataSourcesTests.SongControllerTest","testGetAllSongs_Success","testGetAllSongs_Success()",""
"passed","Tue Feb 18 09:16:19 GMT 2025","Tue Feb 18 09:16:19 GMT 2025","6","","com.example.catalog.SpotifyAPIDataSourcesTests.AlbumControllerTest","","com.example.catalog.SpotifyAPIDataSourcesTests.AlbumControllerTest","testGetAlbumTracks_Success","testGetAlbumTracks_Success()",""
"passed","Tue Feb 18 09:16:18 GMT 2025","Tue Feb 18 09:16:18 GMT 2025","6","","com.example.catalog.JSONDataSourceServiceTests.ArtistControllerTest","","com.example.catalog.JSONDataSourceServiceTests.ArtistControllerTest","testGetArtistAlbums_ArtistsNotExist","testGetArtistAlbums_ArtistsNotExist()",""
"passed","Tue Feb 18 09:16:18 GMT 2025","Tue Feb 18 09:16:18 GMT 2025","45","","com.example.catalog.JSONDataSourceServiceTests.AlbumControllerTest","","com.example.catalog.JSONDataSourceServiceTests.AlbumControllerTest","testGetAllAlbums_Success","testGetAllAlbums_Success()",""
"passed","Tue Feb 18 09:16:19 GMT 2025","Tue Feb 18 09:16:19 GMT 2025","7","","com.example.catalog.SpotifyAPIDataSourcesTests.AlbumControllerTest","","com.example.catalog.SpotifyAPIDataSourcesTests.AlbumControllerTest","testGetAlbumTracks_EmptyTracks","testGetAlbumTracks_EmptyTracks()",""
"passed","Tue Feb 18 09:16:19 GMT 2025","Tue Feb 18 09:16:19 GMT 2025","9","","com.example.catalog.SpotifyAPIDataSourcesTests.ArtistControllerTest","","com.example.catalog.SpotifyAPIDataSourcesTests.ArtistControllerTest","testGetAllArtists_NullArtist","testGetAllArtists_NullArtist()",""
"passed","Tue Feb 18 09:16:16 GMT 2025","Tue Feb 18 09:16:17 GMT 2025","839","","com.example.catalog.JSONDataSourceServiceTests.SongControllerTest","","com.example.catalog.JSONDataSourceServiceTests.SongControllerTest","testUpdateSong_Success","testUpdateSong_Success()",""
"passed","Tue Feb 18 09:16:19 GMT 2025","Tue Feb 18 09:16:19 GMT 2025","11","","com.example.catalog.SpotifyAPIDataSourcesTests.SongControllerTest","","com.example.catalog.SpotifyAPIDataSourcesTests.SongControllerTest","testGetSongById_Success","testGetSongById_Success()",""
